scenario,temp,precip,humidity,beta_nn
T-vary,22.0,10.757142857142858,63.26864153784026,0.055562638
T-vary,22.0,10.757142857142858,63.667114113861665,0.055564076
T-vary,22.0,10.757142857142858,64.06558668988306,0.055565443
T-vary,22.0,10.757142857142858,64.46405926590447,0.055566713
T-vary,22.0,10.757142857142858,64.86253184192586,0.05556793
T-vary,22.0,10.757142857142858,65.26100441794725,0.055569068
T-vary,22.0,10.757142857142858,65.65947699396865,0.055570148
T-vary,22.0,10.757142857142858,66.05794956999006,0.05557113
T-vary,22.0,10.757142857142858,66.45642214601145,0.055572074
T-vary,22.0,10.757142857142858,66.85489472203284,0.05557292
T-vary,22.0,10.757142857142858,67.25336729805424,0.055573698
T-vary,22.0,10.757142857142858,67.65183987407565,0.055574376
T-vary,22.0,10.757142857142858,68.05031245009704,0.055575013
T-vary,22.0,10.757142857142858,68.44878502611844,0.05557558
T-vary,22.0,10.757142857142858,68.84725760213985,0.055576038
T-vary,22.0,10.757142857142858,69.24573017816124,0.05557645
T-vary,22.0,10.757142857142858,69.64420275418263,0.055576775
T-vary,22.0,10.757142857142858,70.04267533020403,0.05557705
T-vary,22.0,10.757142857142858,70.44114790622544,0.055577226
T-vary,22.0,10.757142857142858,70.83962048224683,0.05557734
T-vary,22.0,10.757142857142858,71.23809305826823,0.055577375
T-vary,22.0,10.757142857142858,71.63656563428964,0.055577353
T-vary,22.0,10.757142857142858,72.03503821031103,0.05557724
T-vary,22.0,10.757142857142858,72.43351078633242,0.055577062
T-vary,22.0,10.757142857142858,72.83198336235382,0.055576805
T-vary,22.0,10.757142857142858,73.23045593837523,0.055576473
T-vary,22.0,10.757142857142858,73.62892851439662,0.055576075
T-vary,22.0,10.757142857142858,74.02740109041801,0.055575613
T-vary,22.0,10.757142857142858,74.42587366643941,0.055575076
T-vary,22.0,10.757142857142858,74.82434624246082,0.055574447
T-vary,22.0,10.757142857142858,75.22281881848221,0.055573758
T-vary,22.0,10.757142857142858,75.62129139450361,0.055572998
T-vary,22.0,10.757142857142858,76.01976397052502,0.055572163
T-vary,22.0,10.757142857142858,76.41823654654641,0.05557126
T-vary,22.0,10.757142857142858,76.8167091225678,0.05557027
T-vary,22.0,10.757142857142858,77.2151816985892,0.055569205
T-vary,22.0,10.757142857142858,77.61365427461061,0.05556809
T-vary,22.0,10.757142857142858,78.012126850632,0.055566877
T-vary,22.0,10.757142857142858,78.4105994266534,0.05556561
T-vary,22.0,10.757142857142858,78.80907200267481,0.055564262
T-vary,22.0,10.757142857142858,79.2075445786962,0.05556285
T-vary,22.0,10.757142857142858,79.60601715471759,0.05556136
T-vary,22.0,10.757142857142858,80.004489730739,0.055559784
T-vary,22.0,10.757142857142858,80.4029623067604,0.055558156
T-vary,22.0,10.757142857142858,80.80143488278179,0.055556446
T-vary,22.0,10.757142857142858,81.19990745880318,0.055554654
T-vary,22.0,10.757142857142858,81.59838003482459,0.055552807
T-vary,22.0,10.757142857142858,81.99685261084599,0.055550877
T-vary,22.0,10.757142857142858,82.39532518686738,0.055548877
T-vary,22.0,10.757142857142858,82.79379776288879,0.055546798
T-vary,22.0,10.757142857142858,83.19227033891019,0.05554466
T-vary,22.0,10.757142857142858,83.59074291493158,0.055542435
T-vary,22.0,10.757142857142858,83.98921549095297,0.05554015
T-vary,22.0,10.757142857142858,84.38768806697438,0.055537794
T-vary,22.0,10.757142857142858,84.78616064299578,0.055535346
T-vary,22.0,10.757142857142858,85.18463321901717,0.055532843
T-vary,22.0,10.757142857142858,85.58310579503858,0.055530265
T-vary,22.0,10.757142857142858,85.98157837105998,0.05552762
T-vary,22.0,10.757142857142858,86.38005094708137,0.05552489
T-vary,22.0,10.757142857142858,86.77852352310276,0.05552209
T-vary,22.0,10.757142857142858,87.17699609912417,0.055519216
T-vary,22.0,10.757142857142858,87.57546867514557,0.055516288
T-vary,22.0,10.757142857142858,87.97394125116696,0.055513263
T-vary,22.0,10.757142857142858,88.37241382718835,0.055510163
T-vary,22.0,10.757142857142858,88.77088640320976,0.055507027
T-vary,22.0,10.757142857142858,89.16935897923116,0.05550379
T-vary,22.0,10.757142857142858,89.56783155525255,0.055500504
T-vary,22.0,10.757142857142858,89.96630413127396,0.055497114
T-vary,22.0,10.757142857142858,90.36477670729536,0.055493664
