city_en,year,month,cases,tem,rhu,pre,index_norm_city,beta_formula,risk_monthly,pool_obs_lag
Huizhou,2008,10,0,25.512144952031527,75.6667324875298,61.87376559337583,0.4769237768903279,0.19521070219212633,0.0931006253788819,1.0
Huizhou,2008,11,0,19.0787777173618,52.905046925776006,13.487541155548044,0.4769237768903279,0.19437348399387888,0.09270133611369241,1.0
Huizhou,2008,12,0,14.9099050856812,48.070297150204,7.192513811073327,0.4769237768903279,0.1937638031874932,0.0924105648408134,1.0
Huizhou,2009,1,0,12.81838027987145,51.9848869973067,5.751161175632441,0.4769237768903279,0.19338144139974303,0.09222820741286106,1.0
Huizhou,2009,2,0,20.97076297093725,74.09255405553878,12.084930215139366,0.4769237768903279,0.1941463203525062,0.09259299637187679,1.0
Huizhou,2009,3,0,18.248240758489494,79.02263563847444,206.1876999398797,0.4769237768903279,0.19349917826468693,0.09228435892316933,1.0
Huizhou,2009,4,0,22.22503248582977,76.6781848915943,129.35619786956752,0.4769237768903279,0.19478954333730375,0.09289976470716911,1.0
Huizhou,2009,5,0,25.51128584083142,79.39974273406648,159.966793523883,0.4769237768903279,0.19568868443047652,0.09332858647328236,1.0
Huizhou,2009,6,0,27.695125936860972,86.70372671705015,253.8849860643761,0.4769237768903279,0.19659545741702436,0.09376104807080889,1.0
Huizhou,2009,7,0,28.746666080606225,83.55085293004365,164.92886622734022,0.4769237768903279,0.1964621963434434,0.09369749269628419,1.0
Huizhou,2009,8,0,28.82416295659894,83.80797907924111,211.06030135496107,0.4769237768903279,0.1967865205107329,0.0938521706030847,1.0
Huizhou,2009,9,0,28.0314991245964,77.63326060422804,132.33150792671205,0.4769237768903279,0.19618049701619766,0.09356314358918669,1.0
Huizhou,2009,10,0,25.377581374111276,62.03728620995945,5.769687429084768,0.4769237768903279,0.19508891846604398,0.09304254382427493,1.0
Huizhou,2009,11,0,17.704471020217643,65.35100473889862,51.58969912126511,0.4769237768903279,0.19394806677114876,0.09249844452507376,1.0
Huizhou,2009,12,0,14.913708892436777,73.43954154178415,84.40936647506706,0.4769237768903279,0.19296240861419728,0.09202836071413771,1.0
Huizhou,2010,1,0,15.316539592223942,77.13753601161102,57.03357039045322,0.4769237768903279,0.19290849977667676,0.09200265030773966,1.0
Huizhou,2010,2,0,17.822776607641554,86.84865514959827,127.4629084100144,0.4769237768903279,0.1930847740453566,0.09208671969772703,1.0
Huizhou,2010,3,0,17.969274654071025,73.96845506768283,47.344736199493205,0.4769237768903279,0.19368956664142395,0.09237515966687877,1.0
Huizhou,2010,4,0,20.4642117592832,84.08091341279625,189.0057151450153,0.4769237768903279,0.19411080113604387,0.0925760564130094,1.0
Huizhou,2010,5,0,25.12424042715904,86.1068908130913,359.0971194260024,0.4769237768903279,0.19571776605137092,0.09334245618975742,1.0
Huizhou,2010,6,0,27.2873066738092,88.32586862702485,432.5655163090381,0.4769237768903279,0.19654668276011958,0.09373778627722132,1.0
Huizhou,2010,7,0,28.96081943965137,82.90630820425447,192.1853070690321,0.4769237768903279,0.19672299322061246,0.09382187292794486,1.0
Huizhou,2010,8,0,28.41691581422428,83.00936931664855,274.7344533464386,0.4769237768903279,0.19695281751307903,0.09393148159752916,1.0
Huizhou,2010,9,0,27.4675265617179,86.36376312931576,335.00977776147784,0.4769237768903279,0.19670754147609767,0.09381450362359132,1.0
Huizhou,2010,10,0,22.474852207521543,67.30985013805338,62.73463845579132,0.4769237768903279,0.19486663224374065,0.09293653023958334,1.0
Huizhou,2010,11,0,19.81153944610075,59.94510440595485,0.0375146647834774,0.4769237768903279,0.19438169944742095,0.09270525425882456,1.0
Huizhou,2010,12,0,14.932004176957676,56.82874126661955,23.084541181192275,0.4769237768903279,0.1936282201502952,0.09234590206663068,1.0
Huizhou,2011,1,0,10.860408826598952,58.75142652290303,13.136254077625278,0.4769237768903279,0.19279916892876167,0.09195050782682136,1.0
Huizhou,2011,2,0,15.375116704667477,71.73168296276182,39.19071902037605,0.4769237768903279,0.19320574565571616,0.09214441393503621,1.0
Huizhou,2011,3,0,17.091384549729725,64.12408064721262,17.275138758411327,0.4769237768903279,0.1938560661437524,0.09245456723837961,1.0
Huizhou,2011,4,0,23.06558340308297,71.05257868016088,129.66264074005113,0.4769237768903279,0.19512151951358883,0.0930580920390006,1.0
Huizhou,2011,5,0,25.13012187345296,82.10653289118662,188.23426783685636,0.4769237768903279,0.1956325879255401,0.09330183271627775,1.0
Huizhou,2011,6,0,28.037646409368577,84.85763551998852,284.813857869681,0.4769237768903279,0.1968406349831816,0.09387797908166938,1.0
Huizhou,2011,7,0,28.6010933051215,84.05259675999808,255.51531862917847,0.4769237768903279,0.1969375884559553,0.09392421849808724,1.0
Huizhou,2011,8,0,28.6026985909585,81.08578165558318,115.9891573665235,0.4769237768903279,0.1960961985854344,0.09352293966320115,1.0
Huizhou,2011,9,0,27.678417368539822,72.40083924738462,83.6942854478073,0.4769237768903279,0.19584283858759535,0.09340210625611882,1.0
Huizhou,2011,10,0,23.72591574757488,72.04785186402265,137.12130050765532,0.4769237768903279,0.19528623287426816,0.09313664775708008,1.0
Huizhou,2011,11,0,20.01812265911275,73.62736889259452,119.82724224627056,0.4769237768903279,0.1942862276081276,0.09265972146864211,1.0
Huizhou,2011,12,0,14.603265312040826,51.64316291289418,1.9435645687294083,0.4769237768903279,0.19370822430375237,0.09238405794966438,1.0
Huizhou,2012,1,0,12.191228758265252,77.283833456582,73.84358124025316,0.4769237768903279,0.1920299972547714,0.09158367156698488,1.0
Huizhou,2012,2,0,14.734160425754226,82.40835423184686,96.33442895765238,0.4769237768903279,0.19241749023892765,0.09176847618450718,1.0
