week,observed,predicted,bi,m,R0,i_v,i_h
95,12.190048482844345,5.757107839261132e-31,1.6825165203657715,16.825165203657715,147.07312240959538,1.7774072683504166e-14,4.1081117734131103e-38
96,9.579762012704757,3.5645064155322734e-31,1.3994801887345076,13.994801887345076,122.33218432993948,1.2525177326274368e-14,2.5435324786158657e-38
97,7.232957666849799,2.1675396017566066e-31,1.1843374700058047,11.843374700058046,103.526002622885,8.826343283732343e-15,1.546695876806484e-38
98,4.886153320994842,1.3072288163947197e-31,1.0256541182903494,10.256541182903494,89.65508027013543,6.219818988020651e-15,9.328020667865848e-39
99,2.539348975139884,7.894331378167029e-32,0.9118183490778927,9.118183490778927,79.70440114317243,4.383032361209414e-15,5.6331749523098544e-39
100,1.2422062094309525,4.8130798315129634e-32,0.8312376619298604,8.312376619298604,72.66063478407871,3.0886707018981173e-15,3.4344796856807226e-39
101,1.4555520590541304,2.9801308103589725e-32,0.773026760375552,7.73026760375552,67.57226926359719,2.1765494567627274e-15,2.1265383262159077e-39
102,1.6688979086773084,1.878938007151401e-32,0.7271951928321975,7.2719519283219745,63.56601335945781,1.533788478915157e-15,1.3407578187179974e-39
103,1.8822437583004865,1.2048641226210039e-32,0.6838099726893373,6.838099726893373,59.773599011305706,1.0808424732750402e-15,8.597574729706038e-40
104,2.06572118897642,7.816302798658761e-33,0.6329401999427654,6.329401999427654,55.326940554437535,7.61656817804228e-16,5.577495931681719e-40
105,1.9057118017590366,5.0846950421685e-33,0.5697804620232816,5.697804620232816,49.80598444259454,5.36730487977447e-16,3.62829673338697e-40
106,1.7457024145416533,3.2875056305522946e-33,0.5056767220639595,5.056767220639595,44.202510669926525,3.782275822791292e-16,2.3458724351022513e-40
107,1.5856930273242698,2.1068809921530108e-33,0.4551484104830863,4.5514841048308625,39.78570021705299,2.6653247244402215e-16,1.5034115828121956e-40
108,1.4256836401068864,1.3477836653474487e-33,0.4327149576989484,4.327149576989484,37.82473406459339,1.8782225886079547e-16,9.617408772280925e-41
109,1.3856812933025404,8.764623696352057e-34,0.452255908599067,4.52255908599067,39.53285914327508,1.323561088076451e-16,6.254191306088239e-41
110,1.3856812933025404,5.95561576638196e-34,0.5220814340068901,5.220814340068901,45.63648898661626,9.326977348134633e-17,4.2497615002012e-41
111,1.3856812933025404,4.339353350410407e-34,0.6476340695894708,6.476340695894708,56.61136971935933,6.572609850524084e-17,3.0964416657702347e-41
112,1.3856812933025404,3.4222482011051315e-34,0.8343326515497593,8.343326515497594,72.93117583476918,4.631639880185399e-17,2.44202097980957e-41
113,1.4752865501442756,2.8864603421057697e-34,1.0870105300884179,10.870105300884179,95.0184029797568,3.263861459540806e-17,2.0596976895288784e-41
114,1.6886323997674535,2.5371170498976885e-34,1.3902156502558793,13.902156502558793,121.52234705033908,2.300004297106411e-17,1.8104160481644705e-41
115,1.9019782493906314,2.2542657169071807e-34,1.703493283455773,17.03493283455773,148.9067555468333,1.620785634526354e-17,1.6085812165742694e-41
116,2.1153240990138094,1.972558656221953e-34,1.984846813810679,19.84846813810679,173.50059561282157,1.1421483326756836e-17,1.4075629058241424e-41
117,2.314269103787422,1.6719640821379959e-34,2.1922885731178736,21.922885731178738,191.63361653128268,8.048583267552605e-18,1.193066991678319e-41
118,2.3676055661932165,1.3610907438593724e-34,2.2996901617554686,22.996901617554684,201.02186728631716,5.6717407679412286e-18,9.712364377475185e-42
119,2.420942028599011,1.0621757210845568e-34,2.329449120240476,23.29449120240476,203.62317484619547,3.996808167272441e-18,7.579390046271991e-42
120,2.4742784910048052,7.982899346483778e-35,2.3132122458373683,23.132122458373683,202.20386764312656,2.816503112460519e-18,5.69637458718694e-42
121,2.5276149534105996,5.825617030901631e-35,2.2826263358106145,22.826263358106146,199.53027410931946,1.9847561980722562e-18,4.156998024048545e-42
122,3.026844241528831,4.168318046672031e-35,2.266459812479285,22.66459812479285,198.11711647546196,1.3986340538231718e-18,2.9743956376994655e-42
123,3.6668817903983646,2.952664985590563e-35,2.269247187046106,22.692471870461063,198.36076809843587,9.85600759636788e-19,2.1069394788001732e-42
124,4.306919339267899,2.0854119839893985e-35,2.283383773739663,22.83383773739663,199.596483718502,6.945411165567317e-19,1.488091896667189e-42
125,4.946956888137432,1.473857421100755e-35,2.3011742425272517,23.011742425272516,201.151594626508,4.894348526736528e-19,1.0517035971890646e-42
126,5.678733152344932,1.043158603676832e-35,2.315117187826678,23.15117187826678,202.37038355128303,3.448989113837632e-19,7.443689194211733e-43
127,6.532116550837643,7.388195641514382e-36,2.324067900076379,23.24067900076379,203.15278846821496,2.430461550171263e-19,5.272010590491211e-43
128,7.385499949330355,5.23202189132813e-36,2.3345138665089324,23.345138665089323,204.06589742210946,1.7127173069816153e-19,3.73342506873707e-43
129,8.238883347823066,3.705462357052122e-36,2.3533942761034785,23.533942761034787,205.7162828761782,1.2069314873249707e-19,2.6441147117540475e-43
130,9.844310866237441,2.6278619071159257e-36,2.3876453369430775,23.876453369430774,208.71025672579344,8.505102442525283e-20,1.8751690503182004e-43
131,18.218135463947206,1.8695430761455255e-36,2.440247608011703,24.40247608011703,213.3083573436803,5.993444393283328e-20,1.3340538576748433e-43
132,26.59196006165697,1.3360385663088948e-36,2.50242797504715,25.0242797504715,218.74370411251311,4.2235088804778476e-20,9.533599017474631e-44
133,34.96578465936673,9.587605032586903e-37,2.5632402505443856,25.632402505443856,224.05946246017356,2.9762564049923913e-20,6.841447861129515e-44
134,43.339609257076496,6.89552448799542e-37,2.6117382469983728,26.117382469983728,228.29879781454306,2.0973324406165394e-20,4.920454180102341e-44
135,53.027644288465005,4.956054568347551e-37,2.6380066295728772,26.380066295728774,230.59498510252425,1.4779651911320373e-20,3.5365024749161923e-44
136,63.10823568316013,3.549109603392372e-37,2.6405278028970947,26.405278028970947,230.81536738610967,1.0415044672440344e-20,2.532545742395014e-44
137,73.18882707785525,2.52696686158562e-37,2.62187612152617,26.2187612152617,229.18497565788198,7.339357934799785e-21,1.8031731565474668e-44
138,83.26941847255037,1.7870602183630402e-37,2.5846534131320174,25.846534131320173,225.93124240664486,5.171958123006996e-21,1.275196388156872e-44
139,97.66812986361859,1.2549794374053318e-37,2.531477686093997,25.31477686093997,221.28301451870598,3.644617289927523e-21,8.955183654954558e-45
140,117.56263034097987,8.753499788513804e-38,2.465469413855277,24.65469413855277,215.51306065168504,2.568318395879763e-21,6.246253595343089e-45
141,137.45713081834114,6.067176795057234e-38,2.3903367662826205,23.903367662826206,208.94552152820106,1.8098633842417986e-21,4.329368342412755e-45
142,157.35163129570242,4.181776305328306e-38,2.309821271515679,23.09821271515679,201.9074538038181,1.2753891709353799e-21,2.9839990761583464e-45
143,171.83088074500412,2.868753737804304e-38,2.2276598985805736,22.276598985805734,194.72551561018997,8.987515585441113e-22,2.0470627499673927e-45
144,142.49582642181704,1.96056217065499e-38,2.14292326618192,21.429232661819203,187.31846732359443,6.333395189431125e-22,1.3990025479199302e-45
145,113.16077209862999,1.334907433634634e-38,2.041215676702458,20.412156767024577,178.42794376769734,4.463068157621518e-22,9.525527569820423e-46
146,83.82571777544293,9.03546941795429e-39,1.9057266814300569,19.05726681430057,166.58450012500498,3.145070974382743e-22,6.447459267842366e-46
147,54.49066345225586,6.049661428319935e-39,1.7196458316525844,17.196458316525845,150.31869157802308,2.216294057040848e-22,4.316869864649589e-46
148,39.84127068788037,3.975625270397034e-39,1.4705846144227523,14.705846144227523,128.54760615583498,1.5617960253627061e-22,2.836895440557324e-46
149,29.333987593938883,2.5394170912382114e-39,1.1810186986518048,11.810186986518048,103.23590023180111,1.1005790576795242e-22,1.812057293590846e-46
150,18.8267044999974,1.5633123755153054e-39,0.8899471777157876,8.899471777157876,77.79258546466673,7.75564953766256e-23,1.1155361606360108e-46
151,8.319421406055923,9.230981392775315e-40,0.636468364406163,6.364683644061629,55.63534653900025,5.465313857404009e-23,6.586971166530125e-47
152,2.324403031644528,5.234527185530056e-40,0.4586349312801149,4.586349312801149,40.09046602098906,3.851341582014621e-23,3.7352127768874387e-47
153,1.844374869992376,2.885390932087143e-40,0.36369978031781497,3.63699780317815,31.791938838969838,2.7139945423738914e-23,2.058934588331057e-47
154,1.3643467083402239,1.5841195954086327e-40,0.32382160278329075,3.2382160278329075,28.30608415937856,1.912519629635725e-23,1.1303836131073448e-47
155,0.8843185466880719,8.913758557099098e-41,0.3092499717624849,3.0924997176248494,27.0323401890284,1.347729804402114e-23,6.360609788139788e-48
156,0.46829413992287566,5.235617398768896e-41,0.29025222831806524,2.9025222831806525,25.371698279551158,9.497291413525118e-24,3.7359907226836706e-48
157,0.52163060232867,3.1866970445623197e-41,0.25147066475624474,2.5147066475624476,21.98170146470671,6.6926281439203e-24,2.2739382364509203e-48
158,0.5749670647344644,1.962779397268016e-41,0.2178420542289404,2.178420542289404,19.04213760742486,4.716215342092876e-24,1.4005846990638047e-48
159,0.6283035271402586,1.2206499415597064e-41,0.22131033344974563,2.213103334497456,19.345308867984755,3.323460780231434e-24,8.71021793606184e-49
160,0.681639989546053,8.018882513407903e-42,0.293819439132254,2.93819439132254,25.68351740666556,2.3420032285538123e-24,5.722051172690099e-49
161,0.6507048413506928,6.042134004661483e-42,0.4616702245240127,4.616702245240127,40.35578885699412,1.6503817812992286e-24,4.311498504824806e-49
162,0.5973683789448981,5.399043748611918e-42,0.7080919891678781,7.08091989167878,61.89615289929003,1.163004384808785e-24,3.852607213223861e-49
163,0.5440319165391034,5.3085407208878525e-42,0.9964615986120798,9.964615986120798,87.10328659196502,8.195553382924956e-25,3.78802677386032e-49
164,0.49069545413330884,5.2394200529019454e-42,1.290049921524318,12.90049921524318,112.76660153184598,5.775308857792136e-25,3.738704190739222e-49
165,0.609102400674175,4.954698260206055e-42,1.5529660451737575,15.529660451737575,135.74878017253124,4.0697913666677065e-25,3.535534651210258e-49
166,0.9291211751089409,4.4328918606103965e-42,1.772766649727531,17.727666497275308,154.96211973142752,2.8679335038256307e-25,3.1631881408665596e-49
167,1.2491399495437068,3.768159177286791e-42,1.9630361811004144,19.630361811004143,171.59407177451175,2.0209985823180212e-25,2.6888534160744907e-49
168,1.5691587239784726,3.0770686473974934e-42,2.138715102034061,21.38715102034061,186.95062080717315,1.4241736303450163e-25,2.195710466246249e-49
169,1.9585148995407695,2.442208447692677e-42,2.3147323352823475,23.147323352823474,202.33674259461074,1.0035981950287869e-25,1.7426919135811883e-49
170,2.8118982980334843,1.9027433563917434e-42,2.4984839859699677,24.984839859699676,218.3989498225496,7.072236949233748e-26,1.357744652769904e-49
171,3.665281696526199,1.464911751758732e-42,2.676853707511093,26.76853707511093,233.99070869852213,4.9837211459584576e-26,1.0453202167537692e-49
172,4.518665095018914,1.1171292830447266e-42,2.833266292795857,28.33266292795857,247.66313748215532,3.5119689341523754e-26,7.97152335553537e-50
173,5.372048493511629,8.432892126544663e-43,2.9511465347143915,29.511465347143915,257.9673544330762,2.474842679441155e-26,6.017476899204128e-50
174,5.841409362682614,6.288299349354276e-43,3.016507186417142,30.16507186417142,263.6806981133865,1.743992160187409e-26,4.487155237158752e-50
175,6.214764599523174,4.622801654610295e-43,3.0344876448534177,30.344876448534176,265.2524165081658,1.228970503887524e-26,3.2987024793851114e-50
176,6.5881198363637345,3.3491528439795324e-43,3.0187999253348066,30.187999253348067,263.88111235444114,8.660408767337868e-27,2.389862169244707e-50
177,6.961475073204294,2.3946733021122894e-43,2.9831964800519657,29.831964800519657,260.7689230814655,6.1028869106403616e-27,1.7087721579222846e-50
178,8.237283253950892,1.6942190870507989e-43,2.941253597294093,29.41253597294093,257.10258717605706,4.300631718970733e-27,1.2089475432073634e-50
179,10.530751137400049,1.1898170515063069e-43,2.9018623874438565,29.018623874438564,253.65929960173568,3.0306039507254243e-27,8.490203022023027e-51
180,12.824219020849204,8.319851553260739e-44,2.8688472842798407,28.688472842798408,250.7733640104756,2.1356305088013176e-27,5.93681429517678e-51
181,15.11768690429836,5.807529003065073e-44,2.8457801113386063,28.45780111338606,248.7570027393886,1.5049533836419782e-27,4.14409091127806e-51
182,19.14352308668756,4.05526551556707e-44,2.836229496907722,28.36229496907722,247.92215882060503,1.0605227250694548e-27,2.893724500904146e-51
183,33.81105024828109,2.83763342679662e-44,2.8420516673358955,28.420516673358954,248.43108980208876,7.473377332571954e-28,2.0248561629774654e-51
184,48.478577409874624,1.9922863263912933e-44,2.860572405102393,28.605724051023927,250.0500354110483,5.266399996411441e-28,1.4216400216863805e-51
185,63.14610457146816,1.404213111319911e-44,2.888376837696284,28.88376837696284,252.4804928056192,3.7111693532885594e-28,1.0020073578706374e-51
186,77.8136317330617,9.934110240889368e-45,2.9220500926066375,29.220500926066375,255.4239591439368,2.615216842278042e-28,7.08870432488181e-52
187,117.84104667473825,7.049476887796354e-45,2.9576953997693467,29.576953997693465,258.5398076721457,1.8429121608460702e-28,5.030310323816437e-52
188,163.81707726853296,5.012526246246637e-45,2.9879666368711573,29.879666368711572,261.1858948313949,1.298678250188955e-28,3.576799091085085e-52
189,209.7931078623277,3.565673777157392e-45,3.0040144993875355,30.040144993875355,262.5886800163929,9.151630953151636e-29,2.5443654753513577e-52
190,255.7691384561224,2.5322983293480124e-45,2.9969834632224135,29.969834632224135,261.9740789530082,6.449045334400366e-29,1.8069775434194466e-52
191,280.9823509645899,1.7911859049829417e-45,2.9583285359026665,29.583285359026664,258.5951517397436,4.5445654373582785e-29,1.278140363196048e-52
192,283.70251054728544,1.2588652818641933e-45,2.887365236366801,28.87365236366801,252.39206611597908,3.202501136759612e-29,8.982911958500024e-53
193,286.42267012998093,8.775929121044506e-46,2.7916906456550956,27.916906456550954,244.0289025922286,2.256764408459778e-29,6.262258542203872e-53
194,289.1428297126765,6.065271190421076e-46,2.6792966584511224,26.792966584511223,234.20425336111208,1.5903149999953e-29,4.3280085560304525e-53
195,283.87852087322426,4.157607582024569e-46,2.558163443409168,25.58163443409168,223.61568561268948,1.1206760394347682e-29,2.9667529484976235e-53
196,233.36889097493705,2.829477039776612e-46,2.4310339770664466,24.310339770664466,212.50297002329074,7.897270574489391e-30,2.0190359924194466e-53
197,182.85926107664983,1.9129134440648605e-46,2.2871875828528316,22.871875828528317,199.92898451510766,5.565112515312791e-30,1.3650017440165983e-53
198,132.3496311783626,1.2832530580826896e-46,2.113769881165509,21.137698811655092,184.77009450747457,3.9216685076151774e-30,9.156936335683529e-54
199,81.8400012800754,8.513039214534787e-47,1.8979264924016657,18.979264924016658,165.902665419726,2.7635530892327766e-30,6.07466762846781e-54
200,60.458480230840266,5.552788676536289e-47,1.6311107300903145,16.311107300903146,142.5796092736289,1.947442947352103e-30,3.9623153107865626e-54
