week,observed_cases,predicted_cases,Lambda_v,R0,N_v,I_v,I_h
116,4.306919339267899,1.1242866290925247e-13,1500.6978,0.028109972912829358,30458.17635163812,2.1926246231281943e-14,1.1231634656268978e-13
117,4.946956888137432,8.078960920499577e-14,1496.9056,0.028038941801606595,30315.142634861895,1.5749321611583613e-14,8.070890030469109e-14
118,5.678733152344932,5.804425107801106e-14,1491.1835,0.02793175833565848,30185.91994637598,1.1311290381101725e-14,5.798626481319786e-14
119,6.532116550837643,4.1696429756165916e-14,1484.3009,0.0278028390981577,30057.432383100007,8.123130261385539e-15,4.1654774981184736e-14
120,7.385499949330355,2.994915220256592e-14,1480.0071,0.02772241034112372,29934.327690656475,5.8331023669767604e-15,2.991923296959633e-14
121,8.238883347823066,2.150919386015638e-14,1480.0203,0.027722657286561096,29835.673336358403,4.1883542832702555e-15,2.1487706154002377e-14
122,9.844310866237441,1.5446272141051733e-14,1488.3234,0.027878184894939047,29792.14070239597,3.0071820558921478e-15,1.5430841299751982e-14
123,18.218135463947206,1.1091460598522978e-14,1501.2759,0.028120801927564623,29825.026164598446,2.159028957647853e-15,1.1080380218304674e-14
124,26.59196006165697,7.963911962324815e-15,1526.6508,0.028596105585088738,29963.53275847278,1.550083296251775e-15,7.955956006318496e-15
125,34.96578465936673,5.718039696627512e-15,1552.358,0.029077635468779266,30212.072405462,1.1129381845961873e-15,5.7123273692582546e-15
126,43.339609257076496,4.10549501490796e-15,1544.8312,0.02893664791629269,30435.151515904094,7.991522712483128e-16,4.1013936212866735e-15
127,53.027644288465005,2.9478048668775606e-15,1543.458,0.02891092671976461,30567.14222371062,5.739014275952014e-16,2.94486000687069e-15
128,63.10823568316013,2.11670471759189e-15,1538.9215,0.028825952337457463,30642.165188405048,4.1217907175207476e-16,2.1145901274644254e-15
129,73.18882707785525,1.5200432816909663e-15,1521.9335,0.028507744849144995,30629.318642825303,2.9604837402000756e-16,1.5185247569340323e-15
130,83.26941847255037,1.0916514238013358e-15,1501.4518,0.02812409681992812,30509.00781638612,2.1264209250000183e-16,1.0905608629383976e-15
131,97.66812986361859,7.8403551839278725e-16,1484.8146,0.02781246082408802,30315.27548146832,1.5272951688409397e-16,7.832522661266607e-16
132,117.56263034097987,5.631149299372436e-16,1467.7482,0.027492785382342268,30079.150613510577,1.0968913309547839e-16,5.625523775596839e-16
133,137.45713081834114,4.04437174010197e-16,1448.7762,0.027137417178768497,29805.98152762733,7.876908644564518e-17,4.040331408693277e-16
134,157.35163129570242,2.9045654200579355e-16,1452.7942,0.027212678373872222,29573.285224753345,5.655729568540506e-17,2.9016637563016344e-16
135,171.83088074500412,2.0858023545467082e-16,1471.399,0.027561170976240557,29478.619213195194,4.060353327476865e-17,2.0837186359107976e-16
136,142.49582642181704,1.4976810625464983e-16,1506.7557,0.028223446627835054,29574.11841355734,2.914750928522504e-17,1.4961848776688296e-16
137,113.16077209862999,1.0752830356814702e-16,1589.0062,0.02976410262710922,29996.849933260248,2.092372130759139e-17,1.0742088268546156e-16
138,83.82571777544293,7.719705023800221e-17,1648.6649,0.03088158560799552,30709.93632613035,1.5022342579446877e-17,7.711993030769453e-17
139,54.49066345225586,5.542262319083801e-17,1670.5784,0.0312920523690177,31446.821056051285,1.0788524206741583e-17,5.536725593490311e-17
140,39.84127068788037,3.979484081705568e-17,1677.5311,0.03142228636231932,32048.76926397561,7.750759746221068e-18,3.975508573132436e-17
141,29.333987593938883,2.8579902890748025e-17,1672.7845,0.03133337685873697,32477.448279130727,5.570326846229571e-18,2.855135153920882e-17
142,18.8267044999974,2.053118730137049e-17,1669.2142,0.03126650037584486,32755.16876479793,4.004474220974413e-18,2.0510676624745746e-17
143,8.319421406055923,1.4753412649843517e-17,1676.1882,0.03139713222568447,32962.749534247756,2.879430641345529e-18,1.473867397586765e-17
144,2.324403031644528,1.0604415080114092e-17,1683.5736,0.03153546968778292,33151.498884995635,2.070806751350544e-18,1.0593821258855237e-17
145,1.844374869992376,7.62395742381703e-18,1696.4398,0.03177647014240642,33345.27020690592,1.4894654337180004e-18,7.616341082734296e-18
