week,temperature,observed,predicted,M,R0,a_T,b_T,c_T,b_vh,I_h,E_h
92,24.89858021833726,22.270639877539505,12.767332820066585,7000000.0,2081.28191249796,0.43122677882751653,0.5168850340142219,0.7831818434569812,92.03470739712714,10.943428131485645,9.119523442912516
93,23.584019190236727,18.91044274597445,12.767332820067157,7000000.0,1255.5160545204278,0.3818494009121783,0.4314048263520594,0.698843070639305,68.01881615467256,10.943428131486135,9.119523442912516
94,22.21828136490088,15.550245614409398,12.767332820067729,7000000.0,616.0333907820344,0.32640447104708437,0.3389245903522349,0.6070868510611944,45.67842644685046,10.943428131486625,9.119523442912516
95,20.95551473150448,12.190048482844345,12.767332820068301,7000000.0,259.950977749391,0.2731181269996772,0.25251522779329816,0.5205780659040534,28.476725864413318,10.943428131487115,9.119523442912516
96,19.936077533299237,9.579762012704757,12.767332820068871,7000000.0,107.52926126915185,0.22965627639795766,0.1835072555285037,0.45076480369616456,17.401372947604763,10.943428131487604,9.119523442912516
97,19.17621648887662,7.232957666849799,12.767332820069443,7000000.0,47.78210417066955,0.19742426348971262,0.13311189010385677,0.39927037594572323,10.850989233286718,10.943428131488094,9.119523442912516
98,18.626498094301244,4.886153320994842,12.767332820070015,7000000.0,23.487963123832948,0.17435097951339554,0.09743681499830312,0.3625062459250405,7.014543726663616,10.943428131488584,9.119523442912516
99,18.236890735519978,2.539348975139884,12.767332820070584,7000000.0,12.866922737504753,0.15817773502963142,0.07263113367009862,0.3367695202811303,4.743731847178938,10.943428131489073,9.119523442912516
100,17.95742469956772,1.2422062094309525,12.767332820071156,7000000.0,7.710909436532708,0.14668791280356142,0.055110989037582485,0.3184968008620606,3.3379858401337006,10.943428131489563,9.119523442912516
101,17.740400369535504,1.4555520590541304,12.767332820071728,7000000.0,4.807864632335412,0.1378373360567926,0.04167435591749313,0.30442553625681473,2.3718527490838555,10.943428131490053,9.119523442912516
102,17.5409905443141,1.6688979086773084,12.7673328200723,7000000.0,2.8239269954434687,0.12976533310979124,0.02946539870613258,0.2915939510214661,1.578784899353384,10.943428131490544,9.119523442912516
103,17.31455248302488,1.8822437583004865,12.76733282007287,7000000.0,1.2114710931221122,0.12067413721898111,0.015768130546818696,0.27714293469522944,0.7856812069306662,10.943428131491032,9.119523442912516
104,17.016455798816512,2.06572118897642,12.767332820073442,7000000.0,0.056341967301258886,0.10883628857103443,0.001,0.258324555875405,0.04493923543269535,10.943428131491522,9.119523442912516
105,16.632416228548916,1.9057118017590366,12.767332820074014,7000000.0,0.03637770645807422,0.09382226716253016,0.001,0.23444949571967197,0.038739845029668776,10.943428131492013,9.119523442912516
106,16.2437758570897,1.7457024145416533,12.767332820074586,7000000.0,0.02212654614887622,0.07892401496449163,0.001,0.2107428534848859,0.032588256512146425,10.943428131492501,9.119523442912516
107,15.950665700515815,1.5856930273242698,12.767332820075158,7000000.0,0.014510287798628152,0.06790028023530859,0.001,0.19318645450072153,0.02803648231213772,10.943428131492992,9.119523442912516
108,15.853216774904224,1.4256836401068864,12.76733282007573,7000000.0,0.012472274465725831,0.06427787864302965,0.001,0.1874139034653666,0.02654076833544376,10.943428131493482,9.119523442912516
109,16.04011021878351,1.3856812933025404,12.767332820076298,7000000.0,0.01658692760944758,0.07124409726786633,0.001,0.1985134319238573,0.029417166850749982,10.94342813149397,9.119523442912516
110,16.5003708290575,1.3856812933025404,12.76733282007687,7000000.0,0.030935843880273078,0.08872574281605407,0.001,0.22634188979854095,0.03663545585486456,10.94342813149446,9.119523442912516
111,17.171710988431716,1.3856812933025404,12.767332820077035,7000000.0,0.47963547206407386,0.11498257079323757,0.0072221957399152565,0.2680955532034168,0.34288874104015316,10.943428131494603,9.119523442912516
112,17.99141901007286,1.3856812933025404,12.767332820077037,7000000.0,8.246441045780513,0.14808012934031387,0.05722931150151096,0.3207105250961524,3.4991878852122564,10.943428131494604,9.119523442912516
113,18.897147436798285,1.4752865501442756,12.76733282007704,7000000.0,33.86720187003853,0.18567816842227736,0.11490868735069222,0.38054639754862624,8.809792164148972,10.943428131494606,9.119523442912516
114,19.83916832069129,1.6886323997674535,12.767332820077042,7000000.0,97.79031148177253,0.22553085895055552,0.17702055535414457,0.4441628912458748,16.484722043961735,10.943428131494608,9.119523442912516
115,20.78330782623384,1.9019782493906314,12.767332820077044,7000000.0,226.9286158792503,0.2657819480095014,0.24077920486394327,0.5087556229664068,26.423869266287223,10.94342813149461,9.119523442912516
116,21.696351322847946,2.1153240990138094,12.767332820077048,7000000.0,442.84632608706687,0.3045278223369529,0.3031907046526751,0.5714184667094501,38.12367996467663,10.943428131494612,9.119523442912516
117,22.545092776831872,2.314269103787422,12.767332820077048,7000000.0,744.5598654542639,0.3399453163125939,0.361240392933181,0.6292950385062669,50.70576318914209,10.943428131494612,9.119523442912516
118,23.311563651881183,2.3676055661932165,12.767332820077048,7000000.0,1107.0529920886886,0.3710583714026097,0.4131609190421031,0.6807951354247006,63.30141597645297,10.943428131494613,9.119523442912516
119,24.024418866158975,2.420942028599011,12.76733282007705,7000000.0,1514.6026152859479,0.39892923388086465,0.46056887980853084,0.7276520725547384,75.86516532666765,10.943428131494615,9.119523442912516
120,24.721199972473432,2.4742784910048052,12.767332820077053,7000000.0,1962.3138849523552,0.42486813182650074,0.5056574535084398,0.772117774259406,88.70794656199766,10.943428131494617,9.119523442912516
121,25.439448523632745,2.5276149534105996,12.767332820077055,7000000.0,2448.7529368127052,0.4499085611022607,0.5503644736795968,0.8161712017220869,102.24135706056765,10.943428131494619,9.119523442912516
122,26.208069867514023,3.026844241528831,12.767332820077057,7000000.0,2959.052075454818,0.47434482010217366,0.5956073889224648,0.8608042134935399,116.65576206794084,10.94342813149462,9.119523442912516
123,26.98325852499926,3.6668817903983646,12.767332820077057,7000000.0,3417.284675982356,0.49596044719147725,0.6377754356684381,0.9025842958951388,130.60710011846822,10.94342813149462,9.119523442912516
124,27.684786870879005,4.306919339267899,12.767332820077058,7000000.0,3744.6659361835227,0.5123452554062816,0.6722196269598882,0.9370144345272099,142.20860071940626,10.943428131494622,9.119523442912516
125,28.232155313146162,4.946956888137432,12.76733282007706,7000000.0,3922.1130482727685,0.5226487369301017,0.6961530774758892,0.9612625141722497,150.23343886115293,10.943428131494624,9.119523442912516
126,28.54726902591919,5.678733152344932,12.767332820077062,7000000.0,3988.0175012366503,0.5274579251048817,0.708592223823478,0.9740506834649824,154.32495532532528,10.943428131494626,9.119523442912516
127,28.63085958824092,6.532116550837643,12.767332820077065,7000000.0,4000.73120621452,0.5285847697131713,0.7117139727343966,0.9772889055136581,155.33599140462073,10.943428131494628,9.119523442912516
