week,temperature,observed,predicted,M,R0,phi,mu_m,a,b,c
57,16.930415959253,2.25,190010.2112432177,703919678.258128,0.0,4.390677864111726,0.06793174387291323,0.10544863957635721,0.0,0.26176912092521687
58,16.930415959253,2.25,163199.93733597855,679042126.7363995,0.0,4.390677864111726,0.06793174387291323,0.10544863957635721,0.0,0.26176912092521687
59,16.930415959253,2.25,140078.16700282172,661030929.2238854,0.0,4.390677864111726,0.06793174387291323,0.10544863957635721,0.0,0.26176912092521687
60,23.494859483961,1.75,120156.11543964595,648132317.3184627,137.5414688030711,6.304176988935657,0.043348987751735235,0.378335733373828,0.4316948688031723,0.6947428922595588
61,23.494859483961,1.75,103005.99260999146,700181184.7757233,148.58686414645814,6.304176988935657,0.043348987751735235,0.378335733373828,0.4316948688031723,0.6947428922595588
62,23.494859483961,1.75,88254.1850453424,756022092.0531789,160.43697592303775,6.304176988935657,0.043348987751735235,0.378335733373828,0.4316948688031723,0.6947428922595588
63,23.494859483961,1.75,75575.02278542222,811617436.201102,172.2349762516656,6.304176988935657,0.043348987751735235,0.378335733373828,0.4316948688031723,0.6947428922595588
64,26.3998677680554,3.0,64685.12542958708,865705700.3382587,465.0860087696208,6.600794181444735,0.048975513396934955,0.480000151225982,0.6151090125384074,0.8663910097346542
65,26.3998677680554,3.0,55338.30694973207,932763305.3851266,501.11159330338484,6.600794181444735,0.048975513396934955,0.480000151225982,0.6151090125384074,0.8663910097346542
66,26.3998677680554,3.0,47321.00940050298,994587246.0433955,534.3254785717032,6.600794181444735,0.048975513396934955,0.480000151225982,0.6151090125384074,0.8663910097346542
67,26.3998677680554,3.0,40448.23035734948,1053098681.7752186,565.7597755865673,6.600794181444735,0.048975513396934955,0.480000151225982,0.6151090125384074,0.8663910097346542
68,28.8366666666667,2.5,34559.90580075457,1108947538.8523731,773.3300285283096,6.589266444444444,0.061505340000000186,0.5310791230079492,0.7308395512253086,0.9710307348249981
69,28.8366666666667,2.5,29517.70932456122,1160799353.9365177,809.4891471821671,6.589266444444444,0.061505340000000186,0.5310791230079492,0.7308395512253086,0.9710307348249981
70,28.8366666666667,2.5,25202.228937332646,1206923156.1477776,841.6538078448173,6.589266444444444,0.061505340000000186,0.5310791230079492,0.7308395512253086,0.9710307348249981
