week,temperature,bi,observed_cases,predicted_cases,L,P,S_m,E_m,I_m,S_h,E_h,I_h,R_h,R0
64,22.21433458134946,3.366666680369388,1.7179674540906404,2.801140227667083e-05,13449093839.875332,2775763223.2799854,538109553.7680876,0.9279331383766127,0.2707617980397834,13998790.699020036,5.6295197891280825e-05,2.801140227667083e-05,1209.3008956578349,0.010034582813611654
65,23.553482882676043,3.366666665544373,1.6299622911210785,0.0003242285015402264,43664372767.608215,10803470960.232193,2829703719.3507376,8.1794459707998,2.4007310396509314,13998790.697892329,0.0007666579511583726,0.0003242285015402264,1209.301016784823,0.03592578293543206
66,24.53666442548676,3.3666666375574827,1.896644603150051,0.003645577464264242,106179879345.29277,31518809435.597652,11579577543.43868,51.750718219148155,17.6062910711689,13998790.685783437,0.008128150513817755,0.003645577464264242,1209.3024428355,0.09252114021087424
67,25.23815616167905,3.3666666121681876,2.1633269151790233,0.02709832963335331,198862791122.0917,67776105458.784935,33622952869.03736,206.20739710413145,86.5506552712104,13998790.605410583,0.05287092053972618,0.02709832963335331,1209.3146201665095,0.17755940588600336
68,25.77335678955366,3.36666660862316,2.4300092272079956,0.1308350201805707,311122414463.99963,116947932332.5172,74350731404.49406,570.0072540404644,295.61930712929956,13998790.265305541,0.22114421706251167,0.1308350201805707,1209.3827152213012,0.27965241773052035
69,26.25766500741133,3.3666666461690733,2.6966915392369684,0.4475326362846736,432818347125.70966,174278863286.06314,135439200757.9856,1219.934708650174,765.5824763236535,13998789.24134516,0.6644196202378033,0.4475326362846736,1209.646702583768,0.38742655950457516
70,26.795981111363105,3.3666667383869275,2.694558080740737,1.182133859061226,557129780959.0787,235590505411.04517,215056002142.91562,2187.034477086878,1617.7599437455838,13998786.82979902,1.5709491800059407,1.182133859061226,1210.41711794027,0.48829916948052116
71,27.39207547011716,3.3666668442809624,2.587885155929148,2.5663574513685985,678327095351.7032,297413638930.16473,308013023450.7579,3441.1233042130334,2928.456659377159,13998782.104961306,3.10023600411617,2.5663574513685985,1212.2284452386587,0.564979238903659
72,27.993201333872204,3.366666892354836,2.481212231117559,4.751962067862423,786381941792.2185,354957683706.1122,404402241880.33435,4846.8441890228205,4662.777047807344,13998774.172758294,5.257139499631608,4.751962067862423,1215.8181401382365,0.6051267704530185
73,28.5459945056474,3.366666810778988,2.37453930630597,7.663640838378855,869670589717.4153,402464116724.5978,490473626131.4681,6164.826912207281,6620.644621944017,13998762.582543377,7.779877894211361,7.663640838378855,1221.9739378905767,0.6098147026659138
74,28.997626757486934,3.3666665310842916,2.8919029916421772,10.929578513874024,921378085826.3434,435692419258.16254,553602371741.3928,7147.903680034451,8472.673083635349,13998747.61358728,10.197187384101714,10.929578513874024,1231.259646821289,0.5923328051380027
75,29.3173915426931,3.366666123500709,4.385323939004422,14.012468847071117,943605162665.768,454086088206.57043,588785928313.1846,7684.249964973705,9915.612974116051,13998730.136512557,12.085381399133574,14.012468847071117,1243.7656371967505,0.5684287180133694
76,29.504086018398983,3.3666658432412913,5.878744886366668,16.47702048627307,945812168713.2253,460792689115.8249,600471316844.3425,7845.72648922393,10828.440941203899,13998711.154773636,13.295369065217312,16.47702048627307,1259.07283681272,0.5487105962184556
77,29.558558198718732,3.3666659583776055,7.372165833728914,18.17004236593287,939062233804.2415,460631899172.5695,598308935881.9443,7802.259221964269,11290.330979635666,13998691.424063385,13.945653719947845,18.17004236593287,1276.4602405295864,0.5403315190911715
78,29.481657817988133,3.366666736935548,8.833584903647683,19.226013084260664,933311960535.1194,458560126489.0011,593026948099.628,7745.222768149131,11509.833608823412,13998671.256096832,14.315302110264547,19.226013084260664,1295.2025879730206,0.5483274539486868
79,29.283712968086622,3.366668195317443,9.793641226951983,19.96893862618045,936254411383.2291,458830378321.57587,593939230634.6827,7844.067793533132,11739.570647167504,13998650.48402806,14.733395729009343,19.96893862618045,1314.813637584821,0.5754403438849678
80,29.006740835754844,3.3666695086698004,10.753697550256284,20.7936068555483,952294605162.7909,464376357997.4499,607624150500.0989,8225.230328979247,12213.229633102193,13998628.529988013,15.500865720829847,20.7936068555483,1335.175539410414,0.6193476139129753
81,28.699373369647912,3.366669676535914,11.713753873560586,22.057605131766802,981001179637.0846,476050028719.00653,636466110997.9248,8942.853802294574,13094.371379970207,13998604.567959316,16.819847912417373,22.057605131766802,1356.554587639741,0.6749537237373963
82,28.410242518420922,3.3666676984590795,12.673810196864887,24.027750938781463,1019144713861.029,493024024355.41583,679524588069.1724,9999.735018238862,14477.196702037632,13998577.631914591,18.808718639174145,24.027750938781463,1379.5316158306275,0.735228393396121
83,28.18343124418534,3.3666628809307473,19.474209153603717,26.870465151664064,1062375970069.1174,513515814387.6703,733461586218.6597,11359.618860746383,16393.916200654054,13998546.71377064,21.51161159401467,26.870465151664064,1404.9041526151698,0.7925981338866278
84,28.02067260514915,3.3666573880513693,28.434734837777192,30.649974603054098,1106530065766.0864,535502894126.99243,793377853459.2123,12953.729420047774,18814.420093092103,13998510.867877496,24.896292565333383,30.649974603054098,1433.5858553352061,0.8443367886719291
85,27.900667463254656,3.366654938045616,37.39526052195067,35.357144298023584,1149333599434.029,557526198696.1477,855224169705.4402,14732.85372284112,21688.04278301928,13998469.212039683,28.91713364056578,35.357144298023584,1466.5136823783967,0.8910092936623536
86,27.80188651646128,3.3666592646687437,46.355786206124144,40.9559878913195,1189841365676.8767,578763564238.5203,916607212120.9984,16680.811342605062,24977.957323741794,13998420.901835699,33.54443984923337,40.9559878913195,1504.5977365608128,0.9340121918731232
87,27.702150563251706,3.366673913213928,49.34262810084856,47.41833062063606,1227788033188.3428,598843989762.3821,976453174273.5543,18804.81385220643,28673.944512474787,13998365.094074737,38.773637078385356,47.41833062063606,1548.7139575636982,0.9754061967976163
88,27.554015559951477,3.366695102511169,43.368944311399595,54.752419537398275,1263411309793.1917,617716026591.0043,1034846735779.4897,21138.0222359916,32805.77715878798,13998300.874369789,44.647423277818866,54.752419537398275,1599.7257873958679,1.0201544566922152
89,27.277217539312225,3.366709534055661,37.39526052195063,63.06179005223476,1297611153273.2966,635622778335.1869,1093958790979.3582,23784.010272666514,37503.171325767966,13998227.05606737,51.33654585044393,63.06179005223476,1658.5455967274431,1.0745631300767837
90,26.789299123351675,3.3667032732830946,31.421576732501666,72.6132547568284,1330748560559.1602,652641310180.4182,1158050425591.403,26934.207287816007,43062.97671753004,13998141.942218155,59.17996969884781,72.6132547568284,1726.264557389655,1.1333186166873985
91,26.0078164600277,3.3666623893986753,25.630837009104557,83.67982560871005,1357411107309.1206,666681626886.429,1228256747074.7375,30651.35163774802,49813.64623476223,13998043.743556425,68.30943970165063,83.67982560871005,1804.267178264664,1.1546563323349426
92,24.89858021833726,3.3665863995614758,22.270639877539505,95.65045266438342,1356076057890.74,669143375411.665,1290077222419.4749,34164.41130489939,57460.30111080899,13997933.174344648,77.3068090325961,95.65045266438342,1893.8683936553448,1.0445571190827112
93,23.584019190236727,3.366518468515224,18.91044274597445,105.0230319851225,1282482652301.878,641875944339.3951,1295027100712.7925,34713.94987524741,63505.46882038874,13997819.556660239,80.889938639443,105.0230319851225,1994.5303691367812,0.7752603570014354
