week,temperature,bi,bi_normalized,observed_cases,predicted_cases,L,P,S_m,E_m,I_m,M_total,S_h,E_h,I_h,R_h,R0
181,28.749051097755665,3.366671193455427,0.9946988838737744,15.11768690429836,25.772399665705315,453193657695.2054,219918601728.78885,322729655049.9602,7795.709933802303,10851.963746858171,322729673697.6339,13997039.345528958,21.78019327843672,25.77239966570532,2913.1018780974923,0.7424088491592835
182,28.90210384705274,3.3666649050551625,0.9946970259362554,19.14352308668756,30.05430069654886,457575742421.8124,224055011791.21664,331290214890.263,8201.838758113068,12026.77242146176,331290235118.87415,13997004.567415245,24.302428203110512,30.054300696548864,2941.075855855463,0.7292490168953903
183,28.853488331248023,3.3666465161564267,0.994691592849388,33.81105024828109,33.55625132040356,458531096545.04016,225701774812.6529,334369743881.8272,8445.95437914097,12887.307972745928,334369765215.0896,13996967.281629534,26.21340941775109,33.55625132040357,2972.9487097274073,0.7400072883730717
184,28.670849128375835,3.3666288037557615,0.9946863596370663,48.478577409874624,36.53365003555332,461811276277.6265,227328594428.6232,338572276970.3799,8780.558039303496,13681.696582351367,338572299432.6345,13996927.342603698,28.1018516131995,36.53365003555333,3008.0218946528744,0.7720431308708402
185,28.44373581560073,3.366626995505207,0.9946858253809109,63.14610457146816,39.52695685461558,469208537580.45654,230382949782.13275,347510614505.21655,9339.87205286921,14649.722168033317,347510638494.8108,13996884.013030035,30.427752801000153,39.52695685461558,3046.032260308963,0.8153317280406677
186,28.261697970087262,3.366656319056804,0.9946944891625423,77.8136317330617,43.008177188648816,479774425348.7577,235017581456.95895,361432601753.957,10136.204700095072,15919.255191726286,361432627809.4169,13996836.35196866,33.39353970845418,43.00817718864882,3087.246314443809,0.8572108517339673
187,28.195981991765255,3.3667259570490993,0.9947150640358314,117.84104667473825,47.20555735014492,491474401613.15326,240584340793.8999,378227806072.1791,11094.465716040555,17486.504907968974,378227834653.14966,13996783.555061584,36.94950120416654,47.20555735014492,3132.28987986135,0.886026650750361
188,28.186822813199626,3.366801822797606,0.994737478929068,163.81707726853296,52.049351332740784,502165162826.7114,246136433639.06235,394545352009.9074,12080.03005398139,19224.323735734146,394545383314.26117,13996725.262149215,40.81804795998911,52.049351332740784,3181.8704514925257,0.9062192160498749
189,28.117362297592734,3.366830973417607,0.9947460916172437,209.7931078623277,57.33711780200436,511383995322.08777,251167243900.0038,409065897528.8266,13047.548653800492,21037.137472834307,409065931613.5127,13996661.280757448,44.84764797606247,57.337117802004364,3236.5344767742286,0.9324978101752731
190,27.870506079680112,3.366760388004913,0.9947252368241289,255.7691384561224,63.050685731139836,520549530411.2489,255968084909.31702,423625209754.3602,14107.753913081764,22998.3122143538,423625246860.42633,13996590.993527608,49.264584524309925,63.05068573113984,3296.691202136558,0.981914080554651
191,27.33394916796387,3.3665416513857798,0.9946606100582788,280.9823509645899,69.61373064764379,532031202702.3748,261430245071.8811,442520164581.9257,15520.828600146206,25414.063804490357,442520205516.8181,13996512.692898475,54.76237919504937,69.6137306476438,3362.930991682673,1.0613167956571445
192,26.516620366041032,3.3662429336037767,0.994572352480607,283.70251054728544,77.82336730483786,545722442676.29645,267717464100.79132,469675047093.90936,17555.008864178002,28746.605911980027,469675093395.5241,13996423.560712967,62.14045706690466,77.82336730483787,3436.4754626611893,1.129622651484046
193,25.555176197797543,3.366055234842497,0.9945168959962576,286.42267012998093,87.92067914802855,553593725341.6987,271953102904.2711,501011781723.46423,19953.531547949067,33103.00752636333,501011834780.0033,13996322.11530762,70.78833628401108,87.92067914802855,3519.175676948165,1.1100307304154828
194,24.592362454576048,3.3661754110666657,0.9945524026285303,289.1428297126765,98.242787947295,543553426178.87036,269053546483.19226,521757992518.9615,21607.882272830175,37623.036160955315,521758051749.8799,13996211.773801267,77.69200215087801,98.24278794729501,3612.29140863468,0.9795427886087688
195,23.77077515797902,3.366799794407862,0.9947368796317507,283.87852087322426,105.118252685875,509956394527.99286,255842034452.15,515255314632.4109,21194.44689944776,40505.10421833837,515255376331.96204,13996101.576452022,78.94690095215111,105.11825268587502,3714.358394339555,0.8030720405977805
